# freq_THz  G_total  G_Al  G_N  G_Ga
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
1.4892578125e+01 2.1914234980e-01 1.9589258409e-01 2.0258663061e-02 2.9911026487e-03
1.5136718750e+01 2.5077649286e-01 2.3000904198e-01 1.8660437694e-02 2.1070131848e-03
1.5380859375e+01 2.3936537942e-01 2.2184760771e-01 1.6022436955e-02 1.4953347533e-03
1.5625000000e+01 1.8730793373e-01 1.7410366523e-01 1.2177622607e-02 1.0266458843e-03
1.5869140625e+01 1.1623661445e-01 1.0785105251e-01 7.7838264542e-03 6.0173548715e-04
1.6113281250e+01 3.9697304328e-02 3.5700650381e-02 3.7164967890e-03 2.8015715850e-04
1.6357421875e+01 1.2652029043e-02 1.0251308079e-02 2.2330319299e-03 1.6768903447e-04
1.6601562500e+01 7.3124020058e-03 5.3601080386e-03 1.8225848724e-03 1.2970909475e-04
1.6845703125e+01 5.3044603271e-03 3.5644600210e-03 1.6340249249e-03 1.0597538123e-04
1.7089843750e+01 4.3352769862e-03 2.6999870251e-03 1.5421946954e-03 9.3095265790e-05
1.7333984375e+01 3.7701696614e-03 2.1962525156e-03 1.4923588238e-03 8.1558322034e-05
1.7578125000e+01 3.3540002445e-03 1.8266776650e-03 1.4555984114e-03 7.1724168064e-05
1.7822265625e+01 3.1186393923e-03 1.6029090966e-03 1.4499309975e-03 6.5799298277e-05
1.8066406250e+01 2.9494126151e-03 1.4284388675e-03 1.4616385894e-03 5.9335158266e-05
1.8310546875e+01 2.7991276520e-03 1.2700866033e-03 1.4766307887e-03 5.2410259957e-05
1.8554687500e+01 2.6789239336e-03 1.1472047724e-03 1.4845031053e-03 4.7216055930e-05
1.8798828125e+01 2.5828299051e-03 1.0435510620e-03 1.4958022111e-03 4.3476631958e-05
1.9042968750e+01 2.5105533663e-03 9.5189385066e-04 1.5190908363e-03 3.9568679369e-05
1.9287109375e+01 2.4401805291e-03 8.7702210717e-04 1.5276612371e-03 3.5497184747e-05
1.9531250000e+01 2.4110494671e-03 8.2716107485e-04 1.5505339190e-03 3.3354473220e-05
1.9775390625e+01 2.4150142876e-03 7.8657472140e-04 1.5966172609e-03 3.1822305242e-05
2.0019531250e+01 2.4212917284e-03 7.3479250848e-04 1.6556223376e-03 3.0876882305e-05
2.0263671875e+01 2.4679730135e-03 6.8354158479e-04 1.7530004017e-03 3.1431027056e-05
2.0507812500e+01 2.5687770983e-03 6.3080185260e-04 1.9056842778e-03 3.2290967904e-05
2.0751953125e+01 2.7628107446e-03 5.8977600590e-04 2.1389689868e-03 3.4065751876e-05
2.0996093750e+01 3.1234815801e-03 5.7339272916e-04 2.5123325942e-03 3.7756256762e-05
2.1240234375e+01 3.7388964226e-03 5.7656478889e-04 3.1197943688e-03 4.2537264865e-05
2.1484375000e+01 5.4294766969e-03 6.1265851139e-04 4.7664030249e-03 5.0415160651e-05
2.1728515625e+01 2.8302845954e-02 8.5133891207e-04 2.7367734575e-02 8.3772466540e-05
2.1972656250e+01 1.0690487283e-01 2.1622911517e-03 1.0449144786e-01 2.5113381420e-04
2.2216796875e+01 1.5536550545e-01 4.6109025401e-03 1.5014074258e-01 6.1386032330e-04
2.2460937500e+01 1.8138304934e-01 7.6628684359e-03 1.7255446561e-01 1.1657152946e-03
2.2705078125e+01 2.0973302727e-01 1.0933401956e-02 1.9686590420e-01 1.9337211161e-03
2.2949218750e+01 2.4161069368e-01 1.4336502399e-02 2.2435470989e-01 2.9194813865e-03
2.3193359375e+01 2.8262198931e-01 1.8260623569e-02 2.6051235322e-01 3.8490125151e-03
2.3437500000e+01 3.2939225248e-01 2.3555505928e-02 3.0111973305e-01 4.7170135010e-03
2.3681640625e+01 3.1396164974e-01 2.8029146263e-02 2.8066395024e-01 5.2685532363e-03
2.3925781250e+01 2.7037969309e-01 3.1308518393e-02 2.3420405879e-01 4.8671159015e-03
2.4169921875e+01 2.3314788397e-01 3.3402265282e-02 1.9571989295e-01 4.0257257354e-03
2.4414062500e+01 2.1225094883e-01 3.5896692623e-02 1.7292504413e-01 3.4292120798e-03
2.4658203125e+01 2.1020184229e-01 3.9923999955e-02 1.6680159263e-01 3.4762496993e-03
2.4902343750e+01 2.0716725865e-01 4.2976285454e-02 1.6061877618e-01 3.5721970127e-03
2.5146484375e+01 2.0977814374e-01 4.7224304639e-02 1.5890238079e-01 3.6514583145e-03
2.5390625000e+01 2.4789293018e-01 5.8884849157e-02 1.8414057003e-01 4.8675110004e-03
2.5634765625e+01 3.0888898536e-01 7.7165128750e-02 2.2581399270e-01 5.9098639029e-03
2.5878906250e+01 4.8372767096e-01 1.3263961749e-01 3.4645151112e-01 4.6365423462e-03
2.6123046875e+01 9.2613080207e-01 2.6544676588e-01 6.5801271904e-01 2.6713171483e-03
2.6367187500e+01 1.1863793226e+00 3.4412512272e-01 8.4056509199e-01 1.6891079111e-03
2.6611328125e+01 7.4341257943e-01 2.2053976240e-01 5.2183229502e-01 1.0405220128e-03
2.6855468750e+01 4.2884002568e-01 1.2874540525e-01 2.9948451592e-01 6.1010451249e-04
2.7099609375e+01 3.5572946372e-01 1.0693326222e-01 2.4844098020e-01 3.5522130038e-04
2.7343750000e+01 1.4383270054e-01 4.3349929038e-02 1.0031515939e-01 1.6761210430e-04
2.7587890625e+01 3.9228122830e-02 1.1736084229e-02 2.7411437492e-02 8.0601109297e-05
2.7832031250e+01 1.1597705126e-02 3.4049231212e-03 8.1408214130e-03 5.1960592118e-05
2.8076171875e+01 6.7748179069e-03 1.9707265906e-03 4.7617009131e-03 4.2390403202e-05
2.8320312500e+01 5.0564442994e-03 1.4688124849e-03 3.5509930026e-03 3.6638811904e-05
2.8564453125e+01 4.0885078266e-03 1.1863852613e-03 2.8694720294e-03 3.2650535866e-05
2.8808593750e+01 3.5558241436e-03 1.0322345780e-03 2.4941479338e-03 2.9441631713e-05
2.9052734375e+01 3.0580125668e-03 8.8779754832e-04 2.1430641593e-03 2.7150859183e-05
2.9296875000e+01 2.7102074724e-03 7.8712389763e-04 1.8979328315e-03 2.5150743279e-05
2.9541015625e+01 2.4775310185e-03 7.2148636687e-04 1.7324946858e-03 2.3549965888e-05
2.9785156250e+01 2.2475529864e-03 6.5509753929e-04 1.5708374001e-03 2.1618047075e-05
3.0029296875e+01 2.0585024677e-03 5.9812239415e-04 1.4400431284e-03 2.0336945142e-05
3.0273437500e+01 1.9446215130e-03 5.6112049416e-04 1.3640709622e-03 1.9430056644e-05
3.0517578125e+01 1.7949793520e-03 5.1330488562e-04 1.2634789954e-03 1.8195471015e-05
3.0761718750e+01 1.6373161819e-03 4.6015581381e-04 1.1599015641e-03 1.7258803979e-05
3.1005859375e+01 1.5239493486e-03 4.2167014533e-04 1.0857486210e-03 1.6530582327e-05
3.1250000000e+01 1.4225744550e-03 3.8781612330e-04 1.0188238748e-03 1.5934456853e-05
