# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
1.8554687500e+01 2.9902679213e-03 1.5452464602e-03 1.4450214610e-03
1.8798828125e+01 2.8429138317e-03 1.3929730931e-03 1.4499407386e-03
1.9042968750e+01 2.7174746490e-03 1.2631494047e-03 1.4543252444e-03
1.9287109375e+01 2.6096955307e-03 1.1498141154e-03 1.4598814153e-03
1.9531250000e+01 2.5174537368e-03 1.0473537632e-03 1.4700999736e-03
1.9775390625e+01 2.4427895751e-03 9.5180881996e-04 1.4909807552e-03
2.0019531250e+01 2.3941880237e-03 8.6251047285e-04 1.5316775508e-03
2.0263671875e+01 2.3912505645e-03 7.8170897365e-04 1.6095415908e-03
2.0507812500e+01 2.4928977098e-03 7.1376604670e-04 1.7791316631e-03
2.0751953125e+01 2.9478724696e-03 6.6661135926e-04 2.2812611103e-03
2.0996093750e+01 4.7279871740e-03 6.6013291099e-04 4.0678542630e-03
2.1240234375e+01 1.0540880421e-02 7.5356811785e-04 9.7873123034e-03
2.1484375000e+01 2.5013217954e-02 1.0919606924e-03 2.3921257262e-02
2.1728515625e+01 5.1543228593e-02 1.9178001584e-03 4.9625428435e-02
2.1972656250e+01 8.7392666167e-02 3.4768957764e-03 8.3915770391e-02
2.2216796875e+01 1.2449193965e-01 5.8749074528e-03 1.1861703220e-01
2.2460937500e+01 1.5726127679e-01 9.0561344162e-03 1.4820514238e-01
2.2705078125e+01 1.8704297345e-01 1.2922337330e-02 1.7412063612e-01
2.2949218750e+01 2.1697464297e-01 1.7379242777e-02 1.9959540019e-01
2.3193359375e+01 2.4420954012e-01 2.2192861929e-02 2.2201667819e-01
2.3437500000e+01 2.5976472238e-01 2.6895488665e-02 2.3286923372e-01
2.3681640625e+01 2.5777100414e-01 3.1025425035e-02 2.2674557910e-01
2.3925781250e+01 2.4268016939e-01 3.4454442929e-02 2.0822572646e-01
2.4169921875e+01 2.2446371390e-01 3.7345265034e-02 1.8711844886e-01
2.4414062500e+01 2.0969091286e-01 3.9910732009e-02 1.6978018085e-01
2.4658203125e+01 2.0011014356e-01 4.2463030869e-02 1.5764711270e-01
2.4902343750e+01 1.9722151197e-01 4.5837579399e-02 1.5138393258e-01
2.5146484375e+01 2.0806753301e-01 5.2453834495e-02 1.5561369852e-01
2.5390625000e+01 2.5318141112e-01 6.8530960394e-02 1.8465045073e-01
2.5634765625e+01 3.6901105373e-01 1.0482109689e-01 2.6418995683e-01
2.5878906250e+01 5.7912534823e-01 1.6829614755e-01 4.1082920068e-01
2.6123046875e+01 8.3292772565e-01 2.4438723711e-01 5.8854048854e-01
2.6367187500e+01 9.8964573453e-01 2.9211272497e-01 6.9753300955e-01
2.6611328125e+01 9.2464677535e-01 2.7461423190e-01 6.5003254344e-01
2.6855468750e+01 6.6426121094e-01 1.9874430193e-01 4.6551690901e-01
2.7099609375e+01 3.6394661079e-01 1.0982386062e-01 2.5412275017e-01
2.7343750000e+01 1.5333800814e-01 4.6679729058e-02 1.0665827909e-01
2.7587890625e+01 5.2148114592e-02 1.5984937331e-02 3.6163177260e-02
2.7832031250e+01 1.6843080620e-02 5.1660759912e-03 1.1677004629e-02
2.8076171875e+01 7.1397250807e-03 2.1760596382e-03 4.9636654424e-03
2.8320312500e+01 4.5634328307e-03 1.3870348707e-03 3.1763979601e-03
2.8564453125e+01 3.6100789938e-03 1.1000640538e-03 2.5100149400e-03
2.8808593750e+01 3.0647838549e-03 9.3751697864e-04 2.1272668763e-03
2.9052734375e+01 2.6859540955e-03 8.2479211646e-04 1.8611619790e-03
2.9296875000e+01 2.4046389345e-03 7.4113750609e-04 1.6635014284e-03
2.9541015625e+01 2.1877760086e-03 6.7668713346e-04 1.5110888751e-03
2.9785156250e+01 2.0175698348e-03 6.2605562079e-04 1.3915142140e-03
3.0029296875e+01 1.8771259811e-03 5.8398148137e-04 1.2931444997e-03
3.0273437500e+01 1.7494430231e-03 5.4493725039e-04 1.2045057727e-03
3.0517578125e+01 1.6261545413e-03 5.0595481488e-04 1.1201997265e-03
3.0761718750e+01 1.5076140685e-03 4.6703851820e-04 1.0405755503e-03
3.1005859375e+01 1.3977250251e-03 4.2973290605e-04 9.6799211903e-04
3.1250000000e+01 1.3012738534e-03 3.9611904925e-04 9.0515480420e-04
3.1494140625e+01 1.2202954534e-03 3.6748757457e-04 8.5280787884e-04
3.1738281250e+01 1.1523930882e-03 3.4368575900e-04 8.0870732919e-04
3.1982421875e+01 1.0952296576e-03 3.2433704041e-04 7.7089261721e-04
3.2226562500e+01 1.0489328728e-03 3.0951004426e-04 7.3942282852e-04
3.2470703125e+01 1.0127109882e-03 2.9883015687e-04 7.1388083135e-04
3.2714843750e+01 9.8386082257e-04 2.9129975660e-04 6.9256106597e-04
3.2958984375e+01 9.6058200170e-04 2.8609081234e-04 6.7449118937e-04
3.3203125000e+01 9.4250599412e-04 2.8270522340e-04 6.5980077071e-04
3.3447265625e+01 9.2947392886e-04 2.8077799966e-04 6.4869592920e-04
3.3691406250e+01 9.2122825682e-04 2.8007616133e-04 6.4115209549e-04
3.3935546875e+01 9.1650783271e-04 2.8007060788e-04 6.3643722484e-04
3.4179687500e+01 9.1240766176e-04 2.7952553440e-04 6.3288212737e-04
3.4423828125e+01 9.0581375123e-04 2.7702700658e-04 6.2878674465e-04
3.4667968750e+01 8.9481169714e-04 2.7185716425e-04 6.2295453289e-04
3.4912109375e+01 8.7898970532e-04 2.6434282325e-04 6.1464688208e-04
3.5156250000e+01 8.5973765884e-04 2.5563593747e-04 6.0410172137e-04
3.5400390625e+01 8.3964230934e-04 2.4704015986e-04 5.9260214948e-04
3.5644531250e+01 8.2101216485e-04 2.3941164242e-04 5.8160052244e-04
3.5888671875e+01 8.0566298215e-04 2.3325060486e-04 5.7241237729e-04
3.6132812500e+01 7.9524901688e-04 2.2895924159e-04 5.6628977530e-04
3.6376953125e+01 7.9109156729e-04 2.2683992408e-04 5.6425164321e-04
3.6621093750e+01 7.9457469744e-04 2.2722229194e-04 5.6735240550e-04
3.6865234375e+01 8.0681261454e-04 2.3037182940e-04 5.7644078514e-04
3.7109375000e+01 8.2678889426e-04 2.3593535058e-04 5.9085354368e-04
3.7353515625e+01 8.5068758899e-04 2.4272385456e-04 6.0796373443e-04
3.7597656250e+01 8.7323614693e-04 2.4909094941e-04 6.2414519752e-04
3.7841796875e+01 8.8976323221e-04 2.5356241645e-04 6.3620081576e-04
