# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
1.8554687500e+01 2.9531168106e-03 1.5088551026e-03 1.4442617079e-03
1.8798828125e+01 2.8062874534e-03 1.3623699931e-03 1.4439174603e-03
1.9042968750e+01 2.6933695475e-03 1.2390452365e-03 1.4543243111e-03
1.9287109375e+01 2.5886762198e-03 1.1347953341e-03 1.4538808857e-03
1.9531250000e+01 2.4961548961e-03 1.0420868042e-03 1.4540680920e-03
1.9775390625e+01 2.4143267735e-03 9.4648997388e-04 1.4678367996e-03
2.0019531250e+01 2.3412243996e-03 8.4679683217e-04 1.4944275674e-03
2.0263671875e+01 2.3168526541e-03 7.7025069831e-04 1.5466019558e-03
2.0507812500e+01 2.3239609575e-03 6.9029794022e-04 1.6336630173e-03
2.0751953125e+01 2.4233958172e-03 6.2982956541e-04 1.7935662518e-03
2.0996093750e+01 2.6788334045e-03 5.9955918843e-04 2.0792742160e-03
2.1240234375e+01 3.1718539179e-03 6.0003412025e-04 2.5718197977e-03
2.1484375000e+01 4.3537558083e-03 6.2282030446e-04 3.7309355038e-03
2.1728515625e+01 2.1486238036e-02 8.0132767241e-04 2.0684910363e-02
2.1972656250e+01 9.5124168238e-02 2.1220790634e-03 9.3002089175e-02
2.2216796875e+01 1.4484235318e-01 4.9958593758e-03 1.3984649381e-01
2.2460937500e+01 1.5981294067e-01 8.3518815129e-03 1.5146105915e-01
2.2705078125e+01 1.7959944946e-01 1.2171006112e-02 1.6742844335e-01
2.2949218750e+01 2.0637522466e-01 1.6405682119e-02 1.8996954254e-01
2.3193359375e+01 2.5484894353e-01 2.1894454227e-02 2.3295448930e-01
2.3437500000e+01 3.0942323596e-01 2.8487204722e-02 2.8093603123e-01
2.3681640625e+01 2.7715892211e-01 3.2217067636e-02 2.4494185448e-01
2.3925781250e+01 2.3179134533e-01 3.4612959233e-02 1.9717838610e-01
2.4169921875e+01 2.1496050342e-01 3.7531239072e-02 1.7742926435e-01
2.4414062500e+01 2.0597756416e-01 4.0503715069e-02 1.6547384909e-01
2.4658203125e+01 1.9446849314e-01 4.2039003109e-02 1.5242949003e-01
2.4902343750e+01 1.8600093648e-01 4.3519341872e-02 1.4248159461e-01
2.5146484375e+01 1.8892903766e-01 4.7416105894e-02 1.4151293176e-01
2.5390625000e+01 1.9496293903e-01 5.1888762769e-02 1.4307417626e-01
2.5634765625e+01 2.0458711785e-01 5.7363626806e-02 1.4722349104e-01
2.5878906250e+01 3.4149364684e-01 9.9591090384e-02 2.4190255645e-01
2.6123046875e+01 8.6466280861e-01 2.5342385658e-01 6.1123895203e-01
2.6367187500e+01 1.5380637552e+00 4.5016896586e-01 1.0878947894e+00
2.6611328125e+01 1.4564174834e+00 4.3301084555e-01 1.0234066378e+00
2.6855468750e+01 5.1442609709e-01 1.6044084826e-01 3.5398524883e-01
2.7099609375e+01 6.8417696525e-02 2.1709082392e-02 4.6708614133e-02
2.7343750000e+01 1.6021953681e-02 4.8505486141e-03 1.1171405067e-02
2.7587890625e+01 9.0219625720e-03 2.7192233663e-03 6.3027392058e-03
2.7832031250e+01 6.0455122706e-03 1.8241735730e-03 4.2213386976e-03
2.8076171875e+01 4.7071637234e-03 1.4245081055e-03 3.2826556179e-03
2.8320312500e+01 4.0441105445e-03 1.2277637811e-03 2.8163467634e-03
2.8564453125e+01 3.3749195700e-03 1.0312660790e-03 2.3436534910e-03
2.8808593750e+01 2.8215699029e-03 8.6471977351e-04 1.9568501294e-03
2.9052734375e+01 2.6176620191e-03 8.0384139349e-04 1.8138206256e-03
2.9296875000e+01 2.3547274405e-03 7.2660046096e-04 1.6281269795e-03
2.9541015625e+01 2.0927566518e-03 6.4841106070e-04 1.4443455911e-03
2.9785156250e+01 1.9718171704e-03 6.1216731867e-04 1.3596498517e-03
3.0029296875e+01 1.8857479120e-03 5.8713483022e-04 1.2986130818e-03
3.0273437500e+01 1.7496045471e-03 5.4722158246e-04 1.2023829646e-03
3.0517578125e+01 1.6016788207e-03 5.0083413773e-04 1.1008446830e-03
3.0761718750e+01 1.5104030908e-03 4.6905452077e-04 1.0413485700e-03
3.1005859375e+01 1.3762814183e-03 4.2379246487e-04 9.5248895338e-04
3.1250000000e+01 1.2598018578e-03 3.8296692664e-04 8.7683493118e-04
3.1494140625e+01 1.2091410664e-03 3.6318785035e-04 8.4595321605e-04
3.1738281250e+01 1.1499003789e-03 3.4073725713e-04 8.0916312177e-04
3.1982421875e+01 1.0708138193e-03 3.1535059791e-04 7.5546322135e-04
3.2226562500e+01 1.0260104429e-03 3.0170207243e-04 7.2430837046e-04
3.2470703125e+01 1.0117216416e-03 2.9710949202e-04 7.1461214958e-04
3.2714843750e+01 9.7709967474e-04 2.8814190877e-04 6.8895776597e-04
3.2958984375e+01 9.4431639508e-04 2.8115126410e-04 6.6316513098e-04
3.3203125000e+01 9.4193914319e-04 2.8289202243e-04 6.5904712076e-04
3.3447265625e+01 9.1944258410e-04 2.7806218291e-04 6.4138040119e-04
3.3691406250e+01 9.0933642244e-04 2.7675020005e-04 6.3258622239e-04
3.3935546875e+01 9.1511683386e-04 2.7979259702e-04 6.3532423684e-04
3.4179687500e+01 9.1798329009e-04 2.8313917294e-04 6.3484411715e-04
3.4423828125e+01 9.0630616116e-04 2.7990154652e-04 6.2640461465e-04
3.4667968750e+01 9.0143529076e-04 2.7521209844e-04 6.2622319232e-04
3.4912109375e+01 8.8629349452e-04 2.6615885074e-04 6.2013464379e-04
3.5156250000e+01 8.5434210030e-04 2.5309024991e-04 6.0125185039e-04
3.5400390625e+01 8.3403800583e-04 2.4469289507e-04 5.8934511076e-04
3.5644531250e+01 8.2158019482e-04 2.3906639038e-04 5.8251380445e-04
3.5888671875e+01 7.9142782177e-04 2.2845557702e-04 5.6297224475e-04
3.6132812500e+01 7.8696189318e-04 2.2619687523e-04 5.6076501795e-04
3.6376953125e+01 7.8563592751e-04 2.2496361779e-04 5.6067230972e-04
3.6621093750e+01 7.7546726807e-04 2.2135020016e-04 5.5411706791e-04
3.6865234375e+01 7.9213622544e-04 2.2596492850e-04 5.6617129694e-04
3.7109375000e+01 8.2239906331e-04 2.3448396804e-04 5.8791509527e-04
3.7353515625e+01 8.4641634275e-04 2.4146480980e-04 6.0495153296e-04
3.7597656250e+01 8.8453056771e-04 2.5267915547e-04 6.3185141224e-04
3.7841796875e+01 9.0116717815e-04 2.5723063166e-04 6.4393654650e-04
3.8085937500e+01 9.0486600419e-04 2.5768678264e-04 6.4717922155e-04
3.8330078125e+01 9.0342733939e-04 2.5642937566e-04 6.4699796373e-04
3.8574218750e+01 8.9951592108e-04 2.5421277891e-04 6.4530314216e-04
3.8818359375e+01 8.8096016458e-04 2.4827922349e-04 6.3268094109e-04
3.9062500000e+01 8.5297970186e-04 2.3946993409e-04 6.1350976777e-04
3.9306640625e+01 8.1722445674e-04 2.2780929931e-04 5.8941515743e-04
3.9550781250e+01 7.8660333290e-04 2.1761441765e-04 5.6898891525e-04
3.9794921875e+01 7.5232988033e-04 2.0657604341e-04 5.4575383692e-04
4.0039062500e+01 7.1989389480e-04 1.9596113059e-04 5.2393276421e-04
4.0283203125e+01 7.0211004878e-04 1.8913298511e-04 5.1297706367e-04
4.0527343750e+01 6.9969855611e-04 1.8670108050e-04 5.1299747562e-04
4.0771484375e+01 7.0904132343e-04 1.8718287988e-04 5.2185844355e-04
4.1015625000e+01 7.4189623807e-04 1.9355650509e-04 5.4833973298e-04
4.1259765625e+01 8.1204792654e-04 2.0921546439e-04 6.0283246215e-04
4.1503906250e+01 9.0586086835e-04 2.2998471783e-04 6.7587615052e-04
4.1748046875e+01 9.4127986663e-04 2.3678502683e-04 7.0449483981e-04
4.1992187500e+01 8.4524723195e-04 2.1177957958e-04 6.3346765237e-04
4.2236328125e+01 6.5283818746e-04 1.6286008651e-04 4.8997810096e-04
4.2480468750e+01 4.4347666198e-04 1.0999120002e-04 3.3348546196e-04
4.2724609375e+01 2.5122693801e-04 6.2071150375e-05 1.8915578763e-04
4.2968750000e+01 1.2065222372e-04 3.0141044477e-05 9.0511179239e-05
4.3212890625e+01 6.4572237941e-05 1.6584992539e-05 4.7987245402e-05
4.3457031250e+01 4.5256039971e-05 1.1931647201e-05 3.3324392770e-05
4.3701171875e+01 3.6925152948e-05 9.7936979793e-06 2.7131454968e-05
4.3945312500e+01 3.3676645509e-05 8.6678862481e-06 2.5008759261e-05
4.4189453125e+01 3.3604800596e-05 8.2111167011e-06 2.5393683895e-05
4.4433593750e+01 3.4717016011e-05 8.1182002900e-06 2.6598815721e-05
4.4677734375e+01 3.7292942551e-05 8.4331565895e-06 2.8859785961e-05
4.4921875000e+01 4.1641607138e-05 9.2560539284e-06 3.2385553210e-05
4.5166015625e+01 4.7758201605e-05 1.0601575135e-05 3.7156626469e-05
4.5410156250e+01 5.6223961411e-05 1.2615560238e-05 4.3608401173e-05
4.5654296875e+01 6.4805310840e-05 1.4951227603e-05 4.9854083238e-05
4.5898437500e+01 7.2192124281e-05 1.7304954655e-05 5.4887169626e-05
4.6142578125e+01 7.9260240894e-05 1.9676200680e-05 5.9584040214e-05
4.6386718750e+01 8.5576125959e-05 2.2046077544e-05 6.3530048415e-05
4.6630859375e+01 9.2205007308e-05 2.4686465056e-05 6.7518542252e-05
4.6875000000e+01 9.7958514376e-05 2.7216778412e-05 7.0741735964e-05
4.7119140625e+01 1.0280846002e-04 2.9538265226e-05 7.3270194791e-05
4.7363281250e+01 1.0778069298e-04 3.1907925052e-05 7.5872767926e-05
4.7607421875e+01 1.1292360537e-04 3.4496385733e-05 7.8427219640e-05
4.7851562500e+01 1.2536586148e-04 3.9965795540e-05 8.5400065945e-05
4.8095703125e+01 1.6117510598e-04 5.4556376248e-05 1.0661872974e-04
4.8339843750e+01 2.2733511544e-04 8.1198042517e-05 1.4613707293e-04
4.8583984375e+01 2.9653706770e-04 1.0853543591e-04 1.8800163178e-04
4.8828125000e+01 3.3390180232e-04 1.2248273384e-04 2.1141906848e-04
4.9072265625e+01 3.5123790243e-04 1.2881427430e-04 2.2242362813e-04
4.9316406250e+01 3.7234310426e-04 1.3659975552e-04 2.3574334875e-04
4.9560546875e+01 3.9849974497e-04 1.4628571249e-04 2.5221403249e-04
4.9804687500e+01 4.1377170370e-04 1.5106896876e-04 2.6270273493e-04
