# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
1.8554687500e+01 3.0778604248e-03 1.5472773441e-03 1.5305830806e-03
1.8798828125e+01 2.9274024687e-03 1.3911346389e-03 1.5362678298e-03
1.9042968750e+01 2.8078650463e-03 1.2620392770e-03 1.5458257693e-03
1.9287109375e+01 2.7111743265e-03 1.1598747840e-03 1.5512995425e-03
1.9531250000e+01 2.6326782210e-03 1.0563814955e-03 1.5762967256e-03
1.9775390625e+01 2.5908820998e-03 9.7161234462e-04 1.6192697552e-03
2.0019531250e+01 2.5732147322e-03 8.9696565669e-04 1.6762490755e-03
2.0263671875e+01 2.5935869199e-03 8.2028054412e-04 1.7733063758e-03
2.0507812500e+01 2.6875994414e-03 7.5078083110e-04 1.9368186103e-03
2.0751953125e+01 2.9137153982e-03 7.1185464116e-04 2.2018607571e-03
2.0996093750e+01 3.3664992817e-03 7.0984696487e-04 2.6566523169e-03
2.1240234375e+01 4.3186052802e-03 7.5329910185e-04 3.5653061784e-03
2.1484375000e+01 9.2606127238e-03 9.6045867789e-04 8.3001540459e-03
2.1728515625e+01 5.8417210935e-02 2.7596201457e-03 5.5657590789e-02
2.1972656250e+01 1.3297869753e-01 6.6630779202e-03 1.2631561961e-01
2.2216796875e+01 1.5066124617e-01 9.5559841817e-03 1.4110526199e-01
2.2460937500e+01 1.8502645213e-01 1.4654793716e-02 1.7037165841e-01
2.2705078125e+01 2.0775706704e-01 1.8671954357e-02 1.8908511269e-01
2.2949218750e+01 2.1976983238e-01 2.1473128157e-02 1.9829670422e-01
2.3193359375e+01 2.5541459060e-01 2.6339217929e-02 2.2907537267e-01
2.3437500000e+01 2.7071584576e-01 3.0690251177e-02 2.4002559458e-01
2.3681640625e+01 2.5027758679e-01 3.4393434644e-02 2.1588415214e-01
2.3925781250e+01 2.1366072457e-01 3.5154616941e-02 1.7850610763e-01
2.4169921875e+01 2.0232856915e-01 3.8199433507e-02 1.6412913565e-01
2.4414062500e+01 1.9595311197e-01 4.1130643892e-02 1.5482246807e-01
2.4658203125e+01 1.8859087165e-01 4.2990357075e-02 1.4560051458e-01
2.4902343750e+01 1.9229396484e-01 4.7602880552e-02 1.4469108429e-01
2.5146484375e+01 2.3340528449e-01 6.1406206242e-02 1.7199907825e-01
2.5390625000e+01 2.5448444243e-01 7.0134000966e-02 1.8435044146e-01
2.5634765625e+01 2.9234572621e-01 8.4376837010e-02 2.0796888920e-01
2.5878906250e+01 5.2216382983e-01 1.5275704717e-01 3.6940678265e-01
2.6123046875e+01 9.5254406069e-01 2.7829303382e-01 6.7425102687e-01
2.6367187500e+01 1.2817286378e+00 3.7545117502e-01 9.0627746281e-01
2.6611328125e+01 9.1417646953e-01 2.7174638418e-01 6.4243008535e-01
2.6855468750e+01 3.5315236906e-01 1.0226201213e-01 2.5089035693e-01
2.7099609375e+01 1.2822498466e-01 3.3462837454e-02 9.4762147206e-02
2.7343750000e+01 4.6513504621e-02 1.2017521881e-02 3.4495982740e-02
2.7587890625e+01 5.2734952748e-02 1.3898455996e-02 3.8836496751e-02
2.7832031250e+01 3.1028838911e-02 8.2775474575e-03 2.2751291454e-02
2.8076171875e+01 1.0354577093e-02 2.8703461375e-03 7.4842309556e-03
2.8320312500e+01 6.4486392537e-03 1.8502292578e-03 4.5984099959e-03
2.8564453125e+01 6.1276865732e-03 1.7830977928e-03 4.3445887804e-03
2.8808593750e+01 9.1497150863e-03 2.6545972106e-03 6.4951178757e-03
2.9052734375e+01 3.0339060867e-02 8.6967947245e-03 2.1642266142e-02
2.9296875000e+01 4.3938945390e-02 1.2601069545e-02 3.1337875845e-02
2.9541015625e+01 1.7247944073e-02 5.0085108009e-03 1.2239433272e-02
2.9785156250e+01 6.9921650842e-03 2.0970342295e-03 4.8951308547e-03
3.0029296875e+01 1.0054183934e-02 3.0967816493e-03 6.9574022847e-03
3.0273437500e+01 3.5244379855e-02 1.0956690576e-02 2.4287689279e-02
3.0517578125e+01 3.6840629879e-02 1.1465153927e-02 2.5375475953e-02
3.0761718750e+01 1.0007833350e-02 3.1075174152e-03 6.9003159346e-03
3.1005859375e+01 3.4459657094e-03 1.0637905259e-03 2.3821751835e-03
