# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
4.2968750000e+01 1.9009046715e-04 4.9189156316e-05 1.4090131083e-04
4.3212890625e+01 1.3560236045e-04 3.5579333542e-05 1.0002302691e-04
4.3457031250e+01 1.0405710187e-04 2.7483415943e-05 7.6573685930e-05
4.3701171875e+01 8.7156742000e-05 2.2890045926e-05 6.4266696074e-05
4.3945312500e+01 7.9096111037e-05 2.0480163017e-05 5.8615948020e-05
4.4189453125e+01 7.6588276448e-05 1.9524747203e-05 5.7063529245e-05
4.4433593750e+01 7.7738920788e-05 1.9575334140e-05 5.8163586648e-05
4.4677734375e+01 8.1160277818e-05 2.0275944244e-05 6.0884333574e-05
4.4921875000e+01 8.5657332098e-05 2.1328334987e-05 6.4328997112e-05
4.5166015625e+01 9.0254487331e-05 2.2521133935e-05 6.7733353396e-05
4.5410156250e+01 9.4399492004e-05 2.3760386907e-05 7.0639105098e-05
4.5654296875e+01 9.8148788686e-05 2.5074423969e-05 7.3074364717e-05
4.5898437500e+01 1.0198581058e-04 2.6573835238e-05 7.5411975340e-05
4.6142578125e+01 1.0634915164e-04 2.8391650941e-05 7.7957500698e-05
4.6386718750e+01 1.1140492222e-04 3.0650682820e-05 8.0754239395e-05
4.6630859375e+01 1.1730287399e-04 3.3474173996e-05 8.3828699993e-05
4.6875000000e+01 1.2464215049e-04 3.7053009298e-05 8.7589141194e-05
4.7119140625e+01 1.3479721955e-04 4.1780070533e-05 9.3017149015e-05
4.7363281250e+01 1.4980004258e-04 4.8312308843e-05 1.0148773374e-04
4.7607421875e+01 1.7142054216e-04 5.7279571922e-05 1.1414097023e-04
4.7851562500e+01 1.9976978461e-04 6.8707088666e-05 1.3106269595e-04
4.8095703125e+01 2.3269092360e-04 8.1723830155e-05 1.5096709345e-04
4.8339843750e+01 2.6654921090e-04 9.4876003588e-05 1.7167320731e-04
4.8583984375e+01 2.9773074656e-04 1.0675255191e-04 1.9097819465e-04
4.8828125000e+01 3.2396353567e-04 1.1651243208e-04 2.0745110359e-04
4.9072265625e+01 3.4456411549e-04 1.2395062694e-04 2.2061348855e-04
4.9316406250e+01 3.5896542363e-04 1.2889238794e-04 2.3007303569e-04
4.9560546875e+01 3.6501557908e-04 1.3053891814e-04 2.3447666094e-04
4.9804687500e+01 3.5994017852e-04 1.2786823718e-04 2.3207194134e-04
5.0048828125e+01 3.4363255397e-04 1.2090139759e-04 2.2273115638e-04
5.0292968750e+01 3.2023101794e-04 1.1126102159e-04 2.0896999635e-04
5.0537109375e+01 2.9594457411e-04 1.0129314272e-04 1.9465143138e-04
5.0781250000e+01 2.7567011825e-04 9.2790309305e-05 1.8287980894e-04
5.1025390625e+01 2.6179850052e-04 8.6591470857e-05 1.7520702966e-04
5.1269531250e+01 2.5579176762e-04 8.3155687835e-05 1.7263607978e-04
5.1513671875e+01 2.6034722073e-04 8.3240699521e-05 1.7710652121e-04
5.1757812500e+01 2.7924859984e-04 8.7815973216e-05 1.9143262662e-04
5.2001953125e+01 3.1324093469e-04 9.6900936674e-05 2.1633999801e-04
5.2246093750e+01 3.5367626448e-04 1.0787940135e-04 2.4579686313e-04
5.2490234375e+01 3.8066838682e-04 1.1502880670e-04 2.6563958011e-04
5.2734375000e+01 3.7243088540e-04 1.1209184338e-04 2.6033904203e-04
5.2978515625e+01 3.2167265344e-04 9.6925043841e-05 2.2474760960e-04
5.3222656250e+01 2.4341859965e-04 7.3845724707e-05 1.6957287494e-04
5.3466796875e+01 1.6431291503e-04 5.0588430831e-05 1.1372448420e-04
5.3710937500e+01 1.0378686427e-04 3.2757329489e-05 7.1029534777e-05
5.3955078125e+01 6.5733004821e-05 2.1393274519e-05 4.4339730302e-05
5.4199218750e+01 4.4300044034e-05 1.4774212214e-05 2.9525831821e-05
5.4443359375e+01 3.2522846756e-05 1.0958128431e-05 2.1564718325e-05
5.4687500000e+01 2.5833052661e-05 8.7088202603e-06 1.7124232401e-05
5.4931640625e+01 2.1805781763e-05 7.3546072542e-06 1.4451174509e-05
5.5175781250e+01 1.9242386795e-05 6.5286847710e-06 1.2713702024e-05
5.5419921875e+01 1.7492238443e-05 5.9995638924e-06 1.1492674550e-05
5.5664062500e+01 1.6120186620e-05 5.6016078417e-06 1.0518578778e-05
5.5908203125e+01 1.4881979286e-05 5.2447682792e-06 9.6372110069e-06
5.6152343750e+01 1.3730369705e-05 4.9117229585e-06 8.8186467464e-06
5.6396484375e+01 1.2701452598e-05 4.6122791597e-06 8.0891734379e-06
5.6640625000e+01 1.1784503661e-05 4.3404814269e-06 7.4440222340e-06
5.6884765625e+01 1.0904802331e-05 4.0651484888e-06 6.8396538424e-06
5.7128906250e+01 1.0016153814e-05 3.7483588488e-06 6.2677949653e-06
5.7373046875e+01 9.1693421730e-06 3.3733941472e-06 5.7959480258e-06
5.7617187500e+01 8.4620645430e-06 2.9659393055e-06 5.4961252375e-06
5.7861328125e+01 7.9261909109e-06 2.5852304629e-06 5.3409604480e-06
5.8105468750e+01 7.4769716012e-06 2.2794269584e-06 5.1975446427e-06
5.8349609375e+01 6.9990800128e-06 2.0587533097e-06 4.9403267031e-06
5.8593750000e+01 6.4909626697e-06 1.9227515413e-06 4.5682111285e-06
5.8837890625e+01 6.0952784022e-06 1.8906333211e-06 4.2046450811e-06
5.9082031250e+01 5.9537100289e-06 1.9739934854e-06 3.9797165435e-06
5.9326171875e+01 6.0139689375e-06 2.1145808613e-06 3.8993880762e-06
5.9570312500e+01 6.0209933190e-06 2.1857923430e-06 3.8352009759e-06
5.9814453125e+01 5.7672726929e-06 2.0994136285e-06 3.6678590644e-06
6.0058593750e+01 5.3149482441e-06 1.8955272286e-06 3.4194210155e-06
6.0302734375e+01 4.8897454606e-06 1.6885879795e-06 3.2011574811e-06
6.0546875000e+01 4.6007105310e-06 1.5420155467e-06 3.0586949843e-06
6.0791015625e+01 4.3566111300e-06 1.4299599107e-06 2.9266512193e-06
6.1035156250e+01 4.0362190459e-06 1.3054246706e-06 2.7307943753e-06
6.1279296875e+01 3.6449528166e-06 1.1641619505e-06 2.4807908661e-06
6.1523437500e+01 3.2796462772e-06 1.0354909018e-06 2.2441553754e-06
6.1767578125e+01 3.0095327162e-06 9.4105599397e-07 2.0684767222e-06
6.2011718750e+01 2.8348372527e-06 8.8014726988e-07 1.9546899828e-06
6.2255859375e+01 2.7239558629e-06 8.4179080388e-07 1.8821650590e-06
6.2500000000e+01 2.6505486313e-06 8.1666723614e-07 1.8338813952e-06
6.2744140625e+01 2.6006278665e-06 7.9941832704e-07 1.8012095394e-06
6.2988281250e+01 2.5661995076e-06 7.8694787274e-07 1.7792516348e-06
6.3232421875e+01 2.5403671031e-06 7.7694667677e-07 1.7634204263e-06
6.3476562500e+01 2.5156372354e-06 7.6706487004e-07 1.7485723654e-06
6.3720703125e+01 2.4847533676e-06 7.5506098447e-07 1.7296923832e-06
6.3964843750e+01 2.4428726746e-06 7.3957683577e-07 1.7032958389e-06
6.4208984375e+01 2.3880207587e-06 7.2016524769e-07 1.6678555110e-06
6.4453125000e+01 2.3194338668e-06 6.9653154021e-07 1.6229023266e-06
6.4697265625e+01 2.2365709876e-06 6.6823653060e-07 1.5683344570e-06
6.4941406250e+01 2.1394456945e-06 6.3507917416e-07 1.5043665203e-06
6.5185546875e+01 2.0291750633e-06 5.9751602425e-07 1.4316590390e-06
6.5429687500e+01 1.9089501090e-06 5.5697397322e-07 1.3519761357e-06
6.5673828125e+01 1.7846558362e-06 5.1575796239e-07 1.2688978738e-06
6.5917968750e+01 1.6634708664e-06 4.7622551918e-07 1.1872453472e-06
6.6162109375e+01 1.5514725101e-06 4.3999285979e-07 1.1114796503e-06
6.6406250000e+01 1.4521762513e-06 4.0782103097e-07 1.0443552204e-06
6.6650390625e+01 1.3664513617e-06 3.7980210973e-07 9.8664925193e-07
6.6894531250e+01 1.2934206141e-06 3.5560470518e-07 9.3781590889e-07
6.7138671875e+01 1.2307190885e-06 3.3463978194e-07 8.9607930658e-07
6.7382812500e+01 1.1732957524e-06 3.1578430239e-07 8.5751145005e-07
6.7626953125e+01 1.1127704508e-06 2.9702179038e-07 8.1574866037e-07
6.7871093750e+01 1.0392078762e-06 2.7581082131e-07 7.6339705485e-07
6.8115234375e+01 9.4511714271e-07 2.5027021976e-07 6.9484692295e-07
6.8359375000e+01 8.3013740660e-07 2.2046282731e-07 6.0967457928e-07
6.8603515625e+01 7.0308417861e-07 1.8874294938e-07 5.1434122924e-07
6.8847656250e+01 5.7850354916e-07 1.5866860897e-07 4.1983494018e-07
6.9091796875e+01 4.6990451171e-07 1.3328238407e-07 3.3662212764e-07
6.9335937500e+01 3.8487658834e-07 1.1403378102e-07 2.7084280733e-07
6.9580078125e+01 3.2441487212e-07 1.0079024621e-07 2.2362462591e-07
6.9824218750e+01 2.8511639315e-07 9.2548842956e-08 1.9256755020e-07
7.0068359375e+01 2.6196112443e-07 8.8167090043e-08 1.7379403439e-07
7.0312500000e+01 2.5018959950e-07 8.6687055534e-08 1.6350254397e-07
7.0556640625e+01 2.4603447497e-07 8.7340222704e-08 1.5869425226e-07
7.0800781250e+01 2.4684625517e-07 8.9511665072e-08 1.5733459010e-07
7.1044921875e+01 2.5102012495e-07 9.2771481245e-08 1.5824864370e-07
7.1289062500e+01 2.5765234181e-07 9.6857712657e-08 1.6079462916e-07
7.1533203125e+01 2.6598815671e-07 1.0152299035e-07 1.6446516636e-07
7.1777343750e+01 2.7508514799e-07 1.0638714820e-07 1.6869799979e-07
7.2021484375e+01 2.8387670431e-07 1.1096292297e-07 1.7291378135e-07
7.2265625000e+01 2.9149185033e-07 1.1483953696e-07 1.7665231336e-07
7.2509765625e+01 2.9758639582e-07 1.1786093939e-07 1.7972545643e-07
7.2753906250e+01 3.0234661156e-07 1.2012117034e-07 1.8222544122e-07
7.2998046875e+01 3.0616942650e-07 1.2180554242e-07 1.8436388408e-07
7.3242187500e+01 3.0955442596e-07 1.2313542539e-07 1.8641900057e-07
7.3486328125e+01 3.1334004834e-07 1.2448040871e-07 1.8885963962e-07
7.3730468750e+01 3.1863511599e-07 1.2633113919e-07 1.9230397680e-07
7.3974609375e+01 3.2621575426e-07 1.2904335874e-07 1.9717239552e-07
7.4218750000e+01 3.3597783173e-07 1.3264481929e-07 2.0333301245e-07
7.4462890625e+01 3.4690085479e-07 1.3680672510e-07 2.1009412969e-07
7.4707031250e+01 3.5735733492e-07 1.4088602960e-07 2.1647130532e-07
7.4951171875e+01 3.6542656676e-07 1.4406958911e-07 2.2135697766e-07
7.5195312500e+01 3.6926716253e-07 1.4561285530e-07 2.2365430723e-07
7.5439453125e+01 3.6749552650e-07 1.4498801648e-07 2.2250751002e-07
7.5683593750e+01 3.5918621927e-07 1.4183656302e-07 2.1734965625e-07
7.5927734375e+01 3.4378983849e-07 1.3591568363e-07 2.0787415486e-07
