# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
1.8554687500e+01 3.1135389556e-03 1.5831777569e-03 1.5303611987e-03
1.8798828125e+01 2.9662932659e-03 1.4247817575e-03 1.5415115084e-03
1.9042968750e+01 2.8450157690e-03 1.2908573053e-03 1.5541584636e-03
1.9287109375e+01 2.7482655013e-03 1.1756744864e-03 1.5725910150e-03
1.9531250000e+01 2.6779529906e-03 1.0749915833e-03 1.6029614074e-03
1.9775390625e+01 2.6387956647e-03 9.8570417333e-04 1.6530914914e-03
2.0019531250e+01 2.6422899185e-03 9.0621957125e-04 1.7360703473e-03
2.0263671875e+01 2.7227317451e-03 8.3804412372e-04 1.8846876214e-03
2.0507812500e+01 3.0139690474e-03 7.8979789103e-04 2.2241711564e-03
2.0751953125e+01 4.0712694162e-03 7.8871854791e-04 3.2825508683e-03
2.0996093750e+01 7.7111085813e-03 9.1493630912e-04 6.7961722721e-03
2.1240234375e+01 1.7862101378e-02 1.3557465763e-03 1.6506354802e-02
2.1484375000e+01 3.9140117455e-02 2.4020846001e-03 3.6738032855e-02
2.1728515625e+01 7.2141884038e-02 4.3019555604e-03 6.7839928478e-02
2.1972656250e+01 1.1083970475e-01 7.0815399650e-03 1.0375816479e-01
2.2216796875e+01 1.4730871731e-01 1.0537175524e-02 1.3677154179e-01
2.2460937500e+01 1.7790429638e-01 1.4364469947e-02 1.6353982643e-01
2.2705078125e+01 2.0328175183e-01 1.8308397353e-02 1.8497335448e-01
2.2949218750e+01 2.2447591544e-01 2.2267004887e-02 2.0220891055e-01
2.3193359375e+01 2.3968756656e-01 2.6185250257e-02 2.1350231630e-01
2.3437500000e+01 2.4478154551e-01 2.9865050162e-02 2.1491649535e-01
2.3681640625e+01 2.3824440509e-01 3.3079741908e-02 2.0516466318e-01
2.3925781250e+01 2.2457766717e-01 3.5875385281e-02 1.8870228189e-01
2.4169921875e+01 2.1109163763e-01 3.8613704375e-02 1.7247793326e-01
2.4414062500e+01 2.0316024708e-01 4.1864749114e-02 1.6129549797e-01
2.4658203125e+01 2.0403983667e-01 4.6496647101e-02 1.5754318957e-01
2.4902343750e+01 2.1725293855e-01 5.3824339273e-02 1.6342859928e-01
2.5146484375e+01 2.4973691962e-01 6.6181777791e-02 1.8355514183e-01
2.5390625000e+01 3.1734247423e-01 8.8394158297e-02 2.2894831594e-01
2.5634765625e+01 4.4157709794e-01 1.2673663957e-01 3.1484045837e-01
2.5878906250e+01 6.1930713757e-01 1.8020565901e-01 4.3910147856e-01
2.6123046875e+01 7.8622489961e-01 2.3003342515e-01 5.5619147446e-01
2.6367187500e+01 8.3868799747e-01 2.4590678448e-01 5.9278121300e-01
2.6611328125e+01 7.2520140432e-01 2.1254873698e-01 5.1265266734e-01
2.6855468750e+01 5.0443276134e-01 1.4714299622e-01 3.5728976512e-01
2.7099609375e+01 2.8804434297e-01 8.2967963172e-02 2.0507637980e-01
2.7343750000e+01 1.4384909447e-01 4.0468862738e-02 1.0338023173e-01
2.7587890625e+01 7.0577835366e-02 1.9278220172e-02 5.1299615193e-02
2.7832031250e+01 3.7561591853e-02 1.0079900231e-02 2.7481691622e-02
2.8076171875e+01 2.1604078068e-02 5.8252946035e-03 1.5778783465e-02
2.8320312500e+01 1.4097760771e-02 3.8950489411e-03 1.0202711830e-02
2.8564453125e+01 1.3194238263e-02 3.7473028217e-03 9.4469354408e-03
2.8808593750e+01 1.7227268415e-02 4.9449547384e-03 1.2282313676e-02
2.9052734375e+01 2.2379997075e-02 6.4385915619e-03 1.5941405513e-02
2.9296875000e+01 2.4186976340e-02 6.9811470656e-03 1.7205829275e-02
2.9541015625e+01 2.1849421157e-02 6.3692223228e-03 1.5480198835e-02
2.9785156250e+01 1.9316501193e-02 5.7551450905e-03 1.3561356102e-02
3.0029296875e+01 2.0011422896e-02 6.1092613828e-03 1.3902161513e-02
3.0273437500e+01 2.2099594057e-02 6.8320033736e-03 1.5267590683e-02
3.0517578125e+01 2.1078123244e-02 6.5422980764e-03 1.4535825168e-02
3.0761718750e+01 1.5807179841e-02 4.9095865024e-03 1.0897593339e-02
3.1005859375e+01 9.3851181250e-03 2.9111660334e-03 6.4739520916e-03
3.1250000000e+01 4.8386603754e-03 1.4943855972e-03 3.3442747783e-03
3.1494140625e+01 2.6103845878e-03 7.9901743168e-04 1.8113671562e-03
3.1738281250e+01 1.7412101774e-03 5.2727109769e-04 1.2139390797e-03
3.1982421875e+01 1.4133712003e-03 4.2476413752e-04 9.8860706274e-04
3.2226562500e+01 1.2669327160e-03 3.7941535792e-04 8.8751735804e-04
3.2470703125e+01 1.1841899238e-03 3.5457372569e-04 8.2961619809e-04
3.2714843750e+01 1.1280071476e-03 3.3865589513e-04 7.8935125251e-04
3.2958984375e+01 1.0847860239e-03 3.2722520545e-04 7.5756081848e-04
3.3203125000e+01 1.0492051257e-03 3.1824068414e-04 7.3096444157e-04
3.3447265625e+01 1.0199135897e-03 3.1089716840e-04 7.0901642129e-04
3.3691406250e+01 9.9638056721e-04 3.0479819066e-04 6.9158237654e-04
3.3935546875e+01 9.7700342310e-04 2.9934513812e-04 6.7765828498e-04
3.4179687500e+01 9.5962622854e-04 2.9379122927e-04 6.6583499927e-04
3.4423828125e+01 9.4220327261e-04 2.8744907604e-04 6.5475419657e-04
3.4667968750e+01 9.2311524460e-04 2.7991723689e-04 6.4319800771e-04
3.4912109375e+01 9.0219151039e-04 2.7146022420e-04 6.3073128619e-04
3.5156250000e+01 8.8101630788e-04 2.6294892841e-04 6.1806737947e-04
3.5400390625e+01 8.6159896022e-04 2.5523679570e-04 6.0636216452e-04
3.5644531250e+01 8.4534226382e-04 2.4881948491e-04 5.9652277891e-04
3.5888671875e+01 8.3338394527e-04 2.4403316457e-04 5.8935078070e-04
3.6132812500e+01 8.2717158212e-04 2.4124430241e-04 5.8592727971e-04
3.6376953125e+01 8.2844630311e-04 2.4082823183e-04 5.8761807128e-04
3.6621093750e+01 8.3837771211e-04 2.4298393086e-04 5.9539378124e-04
3.6865234375e+01 8.5584914080e-04 2.4733727812e-04 6.0851186268e-04
