# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
4.6386718750e+00 3.3937632147e-01 2.4104315923e-01 9.8333162238e-02
4.6997070312e+00 3.3664471371e-01 2.4002978550e-01 9.6614928205e-02
4.7607421875e+00 3.3397939459e-01 2.3908589600e-01 9.4893498599e-02
4.8217773438e+00 3.3134989969e-01 2.3818475606e-01 9.3165143632e-02
4.8828125000e+00 3.2867089589e-01 2.3725853290e-01 9.1412362985e-02
4.9438476562e+00 3.2581419910e-01 2.3620622125e-01 8.9607977844e-02
5.0048828125e+00 3.2262076037e-01 2.3490200617e-01 8.7718754200e-02
5.0659179688e+00 3.1892224349e-01 2.3321031054e-01 8.5711932947e-02
5.1269531250e+00 3.1455874407e-01 2.3099854051e-01 8.3560203562e-02
5.1879882812e+00 3.0939947932e-01 2.2815213008e-01 8.1247349237e-02
5.2490234375e+00 3.0335668552e-01 2.2458523695e-01 7.8771448576e-02
5.3100585938e+00 2.9639112203e-01 2.2024587924e-01 7.6145242788e-02
5.3710937500e+00 2.8851748363e-01 2.1512109331e-01 7.3396390318e-02
5.4321289062e+00 2.7980584644e-01 2.0923960278e-01 7.0566243656e-02
5.4931640625e+00 2.7037647683e-01 2.0266993485e-01 6.7706541979e-02
5.5541992188e+00 2.6039192376e-01 1.9551649862e-01 6.4875425140e-02
5.6152343750e+00 2.5004565456e-01 1.8791297443e-01 6.2132680134e-02
5.6762695312e+00 2.3955713059e-01 1.8001975310e-01 5.9537377493e-02
5.7373046875e+00 2.2915517636e-01 1.7201272012e-01 5.7142456238e-02
5.7983398438e+00 2.1907273980e-01 1.6407913587e-01 5.4993603925e-02
5.8593750000e+00 2.0953318491e-01 1.5640661105e-01 5.3126573853e-02
5.9204101562e+00 2.0074243107e-01 1.4917560863e-01 5.1566822442e-02
5.9814453125e+00 1.9287799544e-01 1.4254983070e-01 5.0328164743e-02
6.0424804688e+00 1.8608322772e-01 1.3666909376e-01 4.9414133959e-02
6.1035156250e+00 1.8046456929e-01 1.3164400500e-01 4.8820564284e-02
6.1645507812e+00 1.7608239215e-01 1.2754721397e-01 4.8535178179e-02
6.2255859375e+00 1.7295522330e-01 1.2441432137e-01 4.8540901936e-02
6.2866210938e+00 1.7106474973e-01 1.2224553082e-01 4.8819218917e-02
6.3476562500e+00 1.7036535269e-01 1.2101171015e-01 4.9353642545e-02
6.4086914062e+00 1.7078654110e-01 1.2065578689e-01 5.0130754213e-02
6.4697265625e+00 1.7224948441e-01 1.2110406434e-01 5.1145420069e-02
6.5307617188e+00 1.7468017755e-01 1.2227714888e-01 5.2403028672e-02
6.5917968750e+00 1.7801552426e-01 1.2409412333e-01 5.3921400939e-02
6.6528320312e+00 1.8221128709e-01 1.2647936876e-01 5.5731918328e-02
6.7138671875e+00 1.8724788760e-01 1.2936888645e-01 5.7879001149e-02
6.7749023438e+00 1.9313134041e-01 1.3271185128e-01 6.0419489132e-02
6.8359375000e+00 1.9988522837e-01 1.3646746476e-01 6.3417763606e-02
6.8969726562e+00 2.0754389683e-01 1.4060236861e-01 6.6941528221e-02
6.9580078125e+00 2.1613876208e-01 1.4508546066e-01 7.1053301415e-02
7.0190429688e+00 2.2568992478e-01 1.4988442304e-01 7.5805501742e-02
7.0800781250e+00 2.3619460935e-01 1.5496132902e-01 8.1233280337e-02
7.1411132812e+00 2.4761346856e-01 1.6026712291e-01 8.7346345646e-02
7.2021484375e+00 2.5986548061e-01 1.6574141645e-01 9.4124064159e-02
7.2631835938e+00 2.7282528892e-01 1.7130989943e-01 1.0151538949e-01
7.3242187500e+00 2.8632488374e-01 1.7688661795e-01 1.0943826579e-01
7.3852539062e+00 3.0016370317e-01 1.8237948640e-01 1.1778421677e-01
7.4462890625e+00 3.1412373431e-01 1.8769598485e-01 1.2642774946e-01
7.5073242188e+00 3.2798882432e-01 1.9275152500e-01 1.3523729932e-01
7.5683593750e+00 3.4155743273e-01 1.9747277537e-01 1.4408465736e-01
