# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_species=True
4.0893554688e+00 4.0139429731e-01 2.7544360181e-01 1.2595069550e-01
4.1503906250e+00 3.5798986246e-01 2.4565173999e-01 1.1233812248e-01
4.2114257812e+00 3.6808407519e-01 2.5343102103e-01 1.1465305416e-01
4.2724609375e+00 3.5369501981e-01 2.4530112757e-01 1.0839389224e-01
4.3334960938e+00 2.9549265885e-01 2.0532611738e-01 9.0166541466e-02
4.3945312500e+00 2.7870369137e-01 1.9345980653e-01 8.5243884840e-02
4.4555664062e+00 3.3808890712e-01 2.3697024806e-01 1.0111865905e-01
4.5166015625e+00 2.7794337069e-01 1.9575458207e-01 8.2188788625e-02
4.5776367188e+00 2.7463984096e-01 1.9399547271e-01 8.0644368251e-02
4.6386718750e+00 3.7844066668e-01 2.6814209784e-01 1.1029856884e-01
4.6997070312e+00 3.3137350662e-01 2.3430677700e-01 9.7066729628e-02
4.7607421875e+00 2.9403687430e-01 2.0899192365e-01 8.5044950651e-02
4.8217773438e+00 3.2312484681e-01 2.3162556927e-01 9.1499277539e-02
4.8828125000e+00 3.2088839244e-01 2.3146488901e-01 8.9423503429e-02
4.9438476562e+00 2.4359754553e-01 1.7589135716e-01 6.7706188375e-02
5.0048828125e+00 2.8128816274e-01 2.0426033425e-01 7.7027828493e-02
5.0659179688e+00 3.2762522071e-01 2.3974809209e-01 8.7877128621e-02
5.1269531250e+00 2.6069138840e-01 1.9029285658e-01 7.0398531819e-02
5.1879882812e+00 2.7840586846e-01 2.0587277453e-01 7.2533093936e-02
5.2490234375e+00 3.4764842058e-01 2.6002581437e-01 8.7622606205e-02
5.3100585938e+00 2.8585018308e-01 2.1337446822e-01 7.2475714863e-02
5.3710937500e+00 3.0959522660e-01 2.3360343487e-01 7.5991791732e-02
5.4321289062e+00 2.7473391780e-01 2.0972172263e-01 6.5012195171e-02
5.4931640625e+00 2.4022628843e-01 1.8367704322e-01 5.6549245208e-02
5.5541992188e+00 2.4697813818e-01 1.8970473031e-01 5.7273407873e-02
5.6152343750e+00 2.2057133821e-01 1.6878791316e-01 5.1783425048e-02
5.6762695312e+00 1.7543570131e-01 1.3473827326e-01 4.0697428044e-02
5.7373046875e+00 2.3438723909e-01 1.8512893688e-01 4.9258302212e-02
5.7983398438e+00 2.0704360834e-01 1.5870889499e-01 4.8334713350e-02
5.8593750000e+00 1.8954219232e-01 1.3606184045e-01 5.3480351874e-02
5.9204101562e+00 1.9951288264e-01 1.4046691545e-01 5.9045967187e-02
5.9814453125e+00 1.8573004083e-01 1.3007235121e-01 5.5657689624e-02
6.0424804688e+00 1.4687022523e-01 1.0248721923e-01 4.4383006005e-02
6.1035156250e+00 1.2147991413e-01 8.3584614528e-02 3.7895299607e-02
6.1645507812e+00 1.4267905963e-01 9.6338972753e-02 4.6340086882e-02
6.2255859375e+00 1.8341540932e-01 1.2104944007e-01 6.2365969253e-02
6.2866210938e+00 2.3424156922e-01 1.5203891268e-01 8.2202656548e-02
6.3476562500e+00 2.9644553516e-01 1.9025561517e-01 1.0618992000e-01
6.4086914062e+00 2.6021471827e-01 1.6565962767e-01 9.4555090603e-02
6.4697265625e+00 2.2394176178e-01 1.4798127289e-01 7.5960488895e-02
6.5307617188e+00 2.1005545959e-01 1.4300994661e-01 6.7045512976e-02
6.5917968750e+00 2.3710295963e-01 1.5960407731e-01 7.7498882326e-02
6.6528320312e+00 2.9562696685e-01 1.9076383780e-01 1.0486312905e-01
6.7138671875e+00 2.3407246095e-01 1.5315768087e-01 8.0914780081e-02
6.7749023438e+00 2.1031416986e-01 1.4493018193e-01 6.5383987927e-02
6.8359375000e+00 1.9344392747e-01 1.3516858879e-01 5.8275338677e-02
6.8969726562e+00 1.9462240837e-01 1.3644855180e-01 5.8173856572e-02
6.9580078125e+00 1.9015832347e-01 1.3297953407e-01 5.7178789398e-02
7.0190429688e+00 2.0629699174e-01 1.4390069076e-01 6.2396300980e-02
7.0800781250e+00 2.1841332654e-01 1.5225190285e-01 6.6161423692e-02
7.1411132812e+00 2.2037226611e-01 1.5257276521e-01 6.7799500901e-02
7.2021484375e+00 2.2512419751e-01 1.5430146145e-01 7.0822736061e-02
7.2631835938e+00 2.4507326754e-01 1.6210086315e-01 8.2972404385e-02
7.3242187500e+00 2.7886220648e-01 1.6297220412e-01 1.1589000236e-01
7.3852539062e+00 3.0809621016e-01 1.6852043682e-01 1.3957577334e-01
7.4462890625e+00 3.0649408929e-01 1.8837008315e-01 1.1812400614e-01
7.5073242188e+00 3.5274684103e-01 2.1838784605e-01 1.3435899498e-01
7.5683593750e+00 4.1319254978e-01 2.4336029716e-01 1.6983225262e-01
7.6293945312e+00 3.3017664442e-01 1.9028464097e-01 1.3989200345e-01
7.6904296875e+00 3.4693049657e-01 1.9730947019e-01 1.4962102638e-01
7.7514648438e+00 3.7036873024e-01 2.0184840715e-01 1.6852032309e-01
7.8125000000e+00 3.5013453620e-01 1.7878751801e-01 1.7134701819e-01
7.8735351562e+00 4.0196639537e-01 2.0652468329e-01 1.9544171207e-01
7.9345703125e+00 3.7675026323e-01 2.0247995134e-01 1.7427031190e-01
7.9956054688e+00 4.1234168851e-01 2.2394577906e-01 1.8839590945e-01
8.0566406250e+00 4.8259615040e-01 2.5342930573e-01 2.2916684467e-01
8.1176757812e+00 4.3374989417e-01 2.1329179190e-01 2.2045810227e-01
8.1787109375e+00 3.9572378832e-01 1.9732774916e-01 1.9839603916e-01
8.2397460938e+00 4.1316918052e-01 2.0341814350e-01 2.0975103703e-01
8.3007812500e+00 4.7871549079e-01 2.3336089893e-01 2.4535459186e-01
8.3618164062e+00 5.1327298797e-01 2.4365334036e-01 2.6961964761e-01
8.4228515625e+00 5.1557808685e-01 2.3724854663e-01 2.7832954022e-01
8.4838867188e+00 5.3295757737e-01 2.4736517205e-01 2.8559240532e-01
8.5449218750e+00 5.3135101067e-01 2.4226060583e-01 2.8909040484e-01
8.6059570312e+00 5.4451660638e-01 2.3929026402e-01 3.0522634237e-01
8.6669921875e+00 5.3440324665e-01 2.3003429852e-01 3.0436894813e-01
8.7280273438e+00 5.4116104766e-01 2.3422920375e-01 3.0693184391e-01
8.7890625000e+00 5.3907841826e-01 2.4896382985e-01 2.9011458841e-01
8.8500976562e+00 5.0506881934e-01 2.3965073087e-01 2.6541808848e-01
8.9111328125e+00 4.7388322466e-01 2.1845853096e-01 2.5542469370e-01
8.9721679688e+00 4.1920962187e-01 1.9476798410e-01 2.2444163778e-01
9.0332031250e+00 4.4173889311e-01 2.1048516921e-01 2.3125372390e-01
9.0942382812e+00 4.4498434506e-01 2.1536338696e-01 2.2962095810e-01
9.1552734375e+00 4.3785165562e-01 2.2022396755e-01 2.1762768807e-01
9.2163085938e+00 4.7575301927e-01 2.3996607671e-01 2.3578694256e-01
9.2773437500e+00 4.4094855175e-01 2.2190134226e-01 2.1904720949e-01
9.3383789062e+00 3.8245648724e-01 1.9500794916e-01 1.8744853808e-01
9.3994140625e+00 3.9489431667e-01 1.9648847259e-01 1.9840584408e-01
9.4604492188e+00 4.0087416319e-01 1.9639388082e-01 2.0448028236e-01
9.5214843750e+00 3.9926131099e-01 2.0163450712e-01 1.9762680387e-01
9.5825195312e+00 4.0642350173e-01 2.0680431788e-01 1.9961918384e-01
9.6435546875e+00 3.7400588601e-01 1.9051382006e-01 1.8349206595e-01
9.7045898438e+00 3.6496454843e-01 1.9090535428e-01 1.7405919414e-01
9.7656250000e+00 3.9540464677e-01 2.0340105046e-01 1.9200359631e-01
9.8266601562e+00 3.7618969674e-01 1.9685057045e-01 1.7933912629e-01
9.8876953125e+00 3.3418321481e-01 1.7422596204e-01 1.5995725277e-01
9.9487304688e+00 3.4691832410e-01 1.8111595262e-01 1.6580237148e-01
1.0009765625e+01 3.4220726357e-01 1.8490911336e-01 1.5729815021e-01
1.0070800781e+01 3.5958306104e-01 1.8674763855e-01 1.7283542249e-01
1.0131835938e+01 3.5975114970e-01 1.8370228890e-01 1.7604886080e-01
1.0192871094e+01 3.1522020210e-01 1.5941455883e-01 1.5580564327e-01
1.0253906250e+01 3.0898493321e-01 1.5579029939e-01 1.5319463382e-01
1.0314941406e+01 3.3695716738e-01 1.7849907234e-01 1.5845809504e-01
1.0375976562e+01 3.6431476905e-01 2.0083099093e-01 1.6348377813e-01
1.0437011719e+01 3.5979565350e-01 1.9976714405e-01 1.6002850945e-01
1.0498046875e+01 3.3896811500e-01 1.8641885032e-01 1.5254926468e-01
1.0559082031e+01 3.3499234118e-01 1.7945403576e-01 1.5553830542e-01
1.0620117188e+01 2.9827290990e-01 1.6045161547e-01 1.3782129443e-01
1.0681152344e+01 3.0546920411e-01 1.6652725711e-01 1.3894194701e-01
1.0742187500e+01 2.9581320745e-01 1.5793454248e-01 1.3787866496e-01
1.0803222656e+01 2.7222188205e-01 1.3802882922e-01 1.3419305283e-01
1.0864257812e+01 3.0311805727e-01 1.5886262081e-01 1.4425543646e-01
1.0925292969e+01 3.0237305597e-01 1.6260692058e-01 1.3976613539e-01
1.0986328125e+01 3.0666873786e-01 1.7005342769e-01 1.3661531017e-01
1.1047363281e+01 3.0740602695e-01 1.6695651998e-01 1.4044950697e-01
1.1108398438e+01 2.8858591015e-01 1.5182430274e-01 1.3676160740e-01
1.1169433594e+01 2.8184000505e-01 1.5894844997e-01 1.2289155507e-01
1.1230468750e+01 3.1188824296e-01 1.7465571505e-01 1.3723252792e-01
1.1291503906e+01 2.8763182624e-01 1.4628232021e-01 1.4134950603e-01
1.1352539062e+01 2.1886744252e-01 1.1098149262e-01 1.0788594990e-01
1.1413574219e+01 2.4074553989e-01 1.2640535207e-01 1.1434018782e-01
1.1474609375e+01 2.7311783355e-01 1.4117584592e-01 1.3194198763e-01
1.1535644531e+01 2.5765411911e-01 1.3753783466e-01 1.2011628445e-01
1.1596679688e+01 2.6431209436e-01 1.3787025958e-01 1.2644183478e-01
1.1657714844e+01 2.5707743101e-01 1.3014308182e-01 1.2693434919e-01
1.1718750000e+01 2.1622388778e-01 1.1167036880e-01 1.0455351898e-01
1.1779785156e+01 2.3764506987e-01 1.2098040712e-01 1.1666466275e-01
1.1840820312e+01 2.1592535429e-01 1.1092662902e-01 1.0499872527e-01
1.1901855469e+01 2.2326899592e-01 1.1442041404e-01 1.0884858188e-01
1.1962890625e+01 2.5838798410e-01 1.3226617313e-01 1.2612181097e-01
1.2023925781e+01 2.4950833727e-01 1.3367760229e-01 1.1583073499e-01
1.2084960938e+01 2.5536380193e-01 1.4098026474e-01 1.1438353718e-01
1.2145996094e+01 2.3937974613e-01 1.3542356445e-01 1.0395618168e-01
1.2207031250e+01 2.4547176538e-01 1.3697867002e-01 1.0849309537e-01
1.2268066406e+01 2.6822381674e-01 1.4226576858e-01 1.2595804816e-01
1.2329101562e+01 2.3117465763e-01 1.2648617863e-01 1.0468847901e-01
1.2390136719e+01 1.8968494170e-01 1.1653812046e-01 7.3146821239e-02
1.2451171875e+01 1.9350913759e-01 1.1780820120e-01 7.5700936382e-02
1.2512207031e+01 1.5060094028e-01 1.1132322355e-01 3.9277716726e-02
1.2573242188e+01 1.3279069236e-01 1.0602514019e-01 2.6765552169e-02
1.2634277344e+01 1.2269159167e-01 9.8903276333e-02 2.3788315339e-02
1.2695312500e+01 1.1783883065e-01 9.5543737054e-02 2.2295093598e-02
1.2756347656e+01 1.1389239071e-01 9.2778572120e-02 2.1113818592e-02
1.2817382812e+01 1.3391414602e-01 1.0989336138e-01 2.4020784643e-02
1.2878417969e+01 1.5253572050e-01 1.2627925604e-01 2.6256464459e-02
1.2939453125e+01 1.6532301915e-01 1.3814368379e-01 2.7179335354e-02
1.3000488281e+01 1.4869241769e-01 1.2483400952e-01 2.3858408169e-02
1.3061523438e+01 1.5172327287e-01 1.2788215469e-01 2.3841118181e-02
1.3122558594e+01 1.5823278617e-01 1.3378187288e-01 2.4450913284e-02
1.3183593750e+01 1.5636786082e-01 1.3299045653e-01 2.3377404293e-02
1.3244628906e+01 1.5047869347e-01 1.2882242737e-01 2.1656266098e-02
1.3305664062e+01 1.7043911946e-01 1.4805117533e-01 2.2387944139e-02
1.3366699219e+01 1.9013145282e-01 1.6579294792e-01 2.4338504902e-02
1.3427734375e+01 1.9021202296e-01 1.6633445469e-01 2.3877568277e-02
1.3488769531e+01 1.9601105613e-01 1.7339007203e-01 2.2620984092e-02
1.3549804688e+01 2.0925574599e-01 1.8541290242e-01 2.3842843570e-02
1.3610839844e+01 2.2199019378e-01 1.9750622173e-01 2.4483972057e-02
1.3671875000e+01 2.4708058668e-01 2.2157983966e-01 2.5500747017e-02
1.3732910156e+01 2.7446746557e-01 2.4833882489e-01 2.6128640686e-02
1.3793945312e+01 2.6251764842e-01 2.3871874460e-01 2.3798903821e-02
1.3854980469e+01 2.3382325477e-01 2.1083064789e-01 2.2992606880e-02
1.3916015625e+01 2.2866896552e-01 2.0558628818e-01 2.3082677340e-02
1.3977050781e+01 2.4247541846e-01 2.1881962799e-01 2.3655790470e-02
1.4038085938e+01 2.4053550050e-01 2.1777787140e-01 2.2757629094e-02
1.4099121094e+01 2.1106684474e-01 1.9124042731e-01 1.9826417435e-02
1.4160156250e+01 2.0632539229e-01 1.8663652020e-01 1.9688872097e-02
1.4221191406e+01 1.9437133092e-01 1.7586519035e-01 1.8506140578e-02
1.4282226562e+01 1.9782421869e-01 1.7943405674e-01 1.8390161950e-02
1.4343261719e+01 1.9440478518e-01 1.7665488534e-01 1.7749899840e-02
1.4404296875e+01 1.9456470521e-01 1.7704474094e-01 1.7519964274e-02
1.4465332031e+01 1.9231659285e-01 1.7514713801e-01 1.7169454833e-02
1.4526367188e+01 1.9520703626e-01 1.7849387031e-01 1.6713165958e-02
1.4587402344e+01 1.7691690196e-01 1.6221585742e-01 1.4701044541e-02
1.4648437500e+01 1.4111343632e-01 1.2950716614e-01 1.1606270174e-02
1.4709472656e+01 1.3199258224e-01 1.2124456512e-01 1.0748017115e-02
1.4770507812e+01 1.5371183385e-01 1.4169615102e-01 1.2015682828e-02
1.4831542969e+01 1.6960167521e-01 1.5673677921e-01 1.2864895994e-02
1.4892578125e+01 1.3530026927e-01 1.2450480825e-01 1.0795461020e-02
1.4953613281e+01 9.3372730974e-02 8.5472270827e-02 7.9004601474e-03
1.5014648438e+01 1.0140341470e-01 9.3048555337e-02 8.3548593673e-03
1.5075683594e+01 9.9156167080e-02 9.0922268355e-02 8.2338987255e-03
1.5136718750e+01 8.0114221201e-02 7.3183747305e-02 6.9304738959e-03
1.5197753906e+01 6.3286203910e-02 5.7464125231e-02 5.8220786789e-03
1.5258789062e+01 6.6570232813e-02 6.0663483780e-02 5.9067490330e-03
1.5319824219e+01 9.3641460087e-02 8.6062270593e-02 7.5791894934e-03
1.5380859375e+01 6.8869362038e-02 6.2612883072e-02 6.2564789663e-03
1.5441894531e+01 3.6695733931e-02 3.2262575380e-02 4.4331585512e-03
1.5502929688e+01 3.7091857507e-02 3.2055163213e-02 5.0366942948e-03
1.5563964844e+01 4.2295642607e-02 3.6420701766e-02 5.8749408410e-03
1.5625000000e+01 2.8402205464e-02 2.3891724955e-02 4.5104805088e-03
1.5686035156e+01 1.5577406982e-02 1.2395883188e-02 3.1815237932e-03
1.5747070312e+01 1.1745065972e-02 8.9556106776e-03 2.7894552945e-03
1.5808105469e+01 9.2381790732e-03 6.6907142731e-03 2.5474648001e-03
1.5869140625e+01 7.9048265893e-03 5.4813113952e-03 2.4235151942e-03
1.5930175781e+01 7.1340298563e-03 4.7501740200e-03 2.3838558363e-03
1.5991210938e+01 6.4140054251e-03 4.0998070983e-03 2.3141983269e-03
1.6052246094e+01 6.0806733834e-03 3.7896606523e-03 2.2910127312e-03
1.6113281250e+01 5.7085906555e-03 3.4361583481e-03 2.2724323074e-03
1.6174316406e+01 5.5433379442e-03 3.2148626241e-03 2.3284753201e-03
1.6235351562e+01 5.3858944081e-03 3.0471637361e-03 2.3387306720e-03
1.6296386719e+01 5.0895161145e-03 2.7975690502e-03 2.2919470643e-03
1.6357421875e+01 4.9186258347e-03 2.6363117461e-03 2.2823140885e-03
1.6418457031e+01 4.8627787999e-03 2.5324575477e-03 2.3303212523e-03
1.6479492188e+01 4.7252349231e-03 2.3814296857e-03 2.3438052374e-03
1.6540527344e+01 4.6577229964e-03 2.2812815469e-03 2.3764414496e-03
1.6601562500e+01 4.6859650605e-03 2.2306992688e-03 2.4552657917e-03
1.6662597656e+01 4.7020320884e-03 2.1811793788e-03 2.5208527096e-03
1.6723632812e+01 4.7153507361e-03 2.1511791908e-03 2.5641715453e-03
1.6784667969e+01 4.8595070398e-03 2.1548683113e-03 2.7046387285e-03
1.6845703125e+01 5.0188017310e-03 2.1817089331e-03 2.8370927979e-03
1.6906738281e+01 5.1540550727e-03 2.1840871553e-03 2.9699679174e-03
1.6967773438e+01 5.1690912863e-03 2.1527725542e-03 3.0163187321e-03
1.7028808594e+01 5.4691500083e-03 2.1977896899e-03 3.2713603184e-03
1.7089843750e+01 5.8038460547e-03 2.2783598003e-03 3.5254862544e-03
1.7150878906e+01 6.3163034128e-03 2.4328196461e-03 3.8834837667e-03
1.7211914062e+01 7.2517234423e-03 2.7061592774e-03 4.5455641649e-03
1.7272949219e+01 9.1863891572e-03 3.3247395658e-03 5.8616495914e-03
1.7333984375e+01 1.3320269966e-02 4.7089434272e-03 8.6113265387e-03
1.7395019531e+01 2.5609966659e-02 8.9024416739e-03 1.6707524985e-02
1.7456054688e+01 4.3038278165e-02 1.4768455788e-02 2.8269822378e-02
1.7517089844e+01 5.2025708139e-02 1.7606718557e-02 3.4418989582e-02
1.7578125000e+01 4.1124399679e-02 1.3824367856e-02 2.7300031823e-02
1.7639160156e+01 2.5743093821e-02 8.5111366570e-03 1.7231957164e-02
1.7700195312e+01 1.7062024386e-02 5.5758134626e-03 1.1486210924e-02
1.7761230469e+01 1.1066224436e-02 3.5787098519e-03 7.4875145838e-03
1.7822265625e+01 7.5923981675e-03 2.3948118574e-03 5.1975863101e-03
1.7883300781e+01 6.6404459896e-03 2.0927585152e-03 4.5476874744e-03
1.7944335938e+01 6.2710919408e-03 1.9616526314e-03 4.3094393094e-03
1.8005371094e+01 6.0536529365e-03 1.8345948082e-03 4.2190581283e-03
1.8066406250e+01 5.8081386008e-03 1.7298089305e-03 4.0783296703e-03
1.8127441406e+01 5.8819552507e-03 1.7241410066e-03 4.1578142441e-03
1.8188476562e+01 5.9977683702e-03 1.7214371968e-03 4.2763311735e-03
1.8249511719e+01 6.1320436085e-03 1.7509996938e-03 4.3810439147e-03
1.8310546875e+01 6.3097396120e-03 1.7565604540e-03 4.5531791580e-03
1.8371582031e+01 6.8357988893e-03 1.8691293329e-03 4.9666695563e-03
1.8432617188e+01 7.1700515347e-03 1.9361269060e-03 5.2339246286e-03
1.8493652344e+01 7.6910502633e-03 2.0406147561e-03 5.6504355072e-03
1.8554687500e+01 9.0532032745e-03 2.4029248112e-03 6.6502784634e-03
1.8615722656e+01 1.1083717199e-02 2.9666119018e-03 8.1171052972e-03
1.8676757812e+01 1.5275762111e-02 4.2552748305e-03 1.1020487280e-02
1.8737792969e+01 2.7485153360e-02 7.9705277154e-03 1.9514625645e-02
1.8798828125e+01 5.8032097980e-02 1.7549321850e-02 4.0482776130e-02
1.8859863281e+01 8.0227172426e-02 2.4428386876e-02 5.5798785550e-02
1.8920898438e+01 6.0067568082e-02 1.7568586184e-02 4.2498981899e-02
1.8981933594e+01 5.3120329483e-02 1.3448096349e-02 3.9672233134e-02
1.9042968750e+01 8.5049614887e-02 2.0557134755e-02 6.4492480132e-02
1.9104003906e+01 1.1573562204e-01 2.9890282237e-02 8.5845339801e-02
1.9165039062e+01 1.0210071313e-01 2.8022929170e-02 7.4077783962e-02
1.9226074219e+01 4.9296253422e-02 1.3073857313e-02 3.6222396109e-02
1.9287109375e+01 2.4780147669e-02 6.0253704005e-03 1.8754777269e-02
1.9348144531e+01 1.7193239991e-02 3.7673769309e-03 1.3425863060e-02
1.9409179688e+01 1.3988875887e-02 2.7816920883e-03 1.1207183798e-02
1.9470214844e+01 1.3627144107e-02 2.4334657310e-03 1.1193678376e-02
1.9531250000e+01 1.5719676149e-02 2.4145726386e-03 1.3305103510e-02
