# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
4.0283203125e+00 3.3195138101e-01 2.2756401620e-01 1.0438736481e-01
4.0893554688e+00 3.3317603544e-01 2.2901831690e-01 1.0415771854e-01
4.1503906250e+00 3.3349983347e-01 2.2988201609e-01 1.0361781738e-01
4.2114257812e+00 3.3297239630e-01 2.3018832448e-01 1.0278407181e-01
4.2724609375e+00 3.3168202232e-01 2.2999661276e-01 1.0168540956e-01
4.3334960938e+00 3.2974805590e-01 2.2938772829e-01 1.0036032761e-01
4.3945312500e+00 3.2730605872e-01 2.2845380210e-01 9.8852256619e-02
4.4555664062e+00 3.2449272912e-01 2.2728761145e-01 9.7205117672e-02
4.5166015625e+00 3.2143137765e-01 2.2597254811e-01 9.5458829543e-02
4.5776367188e+00 3.1822246949e-01 2.2457587364e-01 9.3646595852e-02
4.6386718750e+00 3.1493816106e-01 2.2314464023e-01 9.1793520824e-02
4.6997070312e+00 3.1161730004e-01 2.2170182943e-01 8.9915470612e-02
4.7607421875e+00 3.0826682744e-01 2.2024683693e-01 8.8019990511e-02
4.8217773438e+00 3.0486521097e-01 2.1875729700e-01 8.6107913977e-02
4.8828125000e+00 3.0136715922e-01 2.1719186315e-01 8.4175296065e-02
4.9438476562e+00 2.9771151129e-01 2.1549528608e-01 8.2216225214e-02
5.0048828125e+00 2.9382936845e-01 2.1360364345e-01 8.0225724993e-02
5.0659179688e+00 2.8965026003e-01 2.1144873422e-01 7.8201525817e-02
5.1269531250e+00 2.8511167966e-01 2.0896504702e-01 7.6146632640e-02
5.1879882812e+00 2.8016463857e-01 2.0609475104e-01 7.4069887528e-02
5.2490234375e+00 2.7478546228e-01 2.0279662121e-01 7.1988841069e-02
5.3100585938e+00 2.6898029467e-01 1.9905054798e-01 6.9929746692e-02
5.3710937500e+00 2.6279281008e-01 1.9486464087e-01 6.7928169206e-02
5.4321289062e+00 2.5630312764e-01 1.9027624665e-01 6.6026880995e-02
5.4931640625e+00 2.4962846184e-01 1.8535404771e-01 6.4274414121e-02
5.5541992188e+00 2.4291987486e-01 1.8019721685e-01 6.2722658010e-02
5.6152343750e+00 2.3635240298e-01 1.7492974413e-01 6.1422658848e-02
5.6762695312e+00 2.3011720195e-01 1.6969558856e-01 6.0421613388e-02
5.7373046875e+00 2.2440378360e-01 1.6464638295e-01 5.9757400648e-02
5.7983398438e+00 2.1938724526e-01 1.5993181575e-01 5.9455429519e-02
